participant_id,mpd_value,excluded
hqhd3rzk6k_gvcppu,0.4699647489387729,False
kcpjwl3s57_ezhd3g,0.4741222636416282,False
6htd45bd2g_fsetxf,0.5861308974267707,False
f752f3yvlt_fbug3o,0.5743798814384856,False
0wsojjatgf_f9hok0,0.37926060978396947,False
tr4ko8k1lp_f72i4b,0.443595600335947,False
bm02dta2gn_foqd45,0.4809442643930348,False
s7yjz35a9z_fncqbn,0.47707020942878253,False
jr322m708f_gmtiz4,0.489937496176995,False
c925nugwq3_f3dm2y,0.47084493886988066,False
f0tzbo4a0h_eu7p96,0.5198591056634213,False
p6hxmgt6yk_fbx9ne,0.44618814565578935,False
vgqc6rboes_f8tyez,0.5022625468761371,False
xd8kknugyx_falm75,0.38714526453633297,False
hx6bn4b9ju_f3v7k5,0.43196277641048075,False
w86rafljb8_f4e94i,0.48438302211872336,False
n122brwzqf_fiu7zl,0.5509005154792717,False
evfahdtpm7_fc532r,0.40222644370583255,False
q1rsthv6xa_f4lxzo,0.6406091080856178,False
opf25stbb7_f7u3vi,0.49421059414260404,False
